,一共游戏场数,11348
1,超梦X,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,伏特替换	放电		速度强化,48,71.64%,2
,,伏特替换	放电		伤药	,29,67.44%,2
,,伏特替换	放电		脱壳忍者玩偶,19,67.86%,7
,,电光		放电		攻击强化,19,67.86%,7
,,电光		疯狂伏特	攻击强化,11,84.62%,6
,,伏特替换	放电		逃脱按键,11,68.75%,10
,,伏特替换	放电		攻击强化,11,44.0%,17
,,电光		疯狂伏特	万灵药,10,83.33%,9
,,电光		放电		万灵药,10,58.82%,5
,,电光		放电		伤药	,6,100.0%,2
,,电光		疯狂伏特	伤药	,5,71.43%,4
,,电光		疯狂伏特	逃脱按键,2,100.0%,2
,,电光		放电		速度强化,1,100.0%,1
,,电光		疯狂伏特	脱壳忍者玩偶,1,33.33%,2
,,电光		放电		脱壳忍者玩偶,0,0.0%,1
