,一共游戏场数,9194
1,卡比兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,双翼		剑舞		万灵药,70,82.35%,11
,,子弹拳	剑舞		万灵药,60,68.18%,24
,,双翼		剑舞		伤药	,26,81.25%,1
,,双翼		二连击	速度强化,15,100.0%,3
,,双翼		二连击	攻击强化,14,73.68%,3
,,双翼		剑舞		攻击强化,13,59.09%,4
,,子弹拳	剑舞		攻击强化,11,91.67%,2
,,子弹拳	剑舞		速度强化,11,64.71%,7
,,子弹拳	剑舞		逃脱按键,10,90.91%,2
,,双翼		二连击	万灵药,9,52.94%,8
,,子弹拳	剑舞		伤药	,7,70.0%,7
,,双翼		二连击	逃脱按键,5,71.43%,4
,,双翼		剑舞		速度强化,5,71.43%,2
,,双翼		剑舞		逃脱按键,3,100.0%,1
,,双翼		二连击	伤药	,1,100.0%,1
,,子弹拳	二连击	万灵药,1,100.0%,1
,,子弹拳	二连击	速度强化,1,33.33%,2
